,varname,varlabel
0,poly_id,Polygon ID
1,asdf_id,ASDF ID
2,mun,Municipality
3,mun_id,Municipality ID
4,dep,Department
5,dep_id,Department ID
6,dep_mun,Department-municipality
7,shapeID,Municipality Geoquery Polygon ID
8,imds,Municipal Sustainable Development Index
9,rank_imds,Bolivia Index Ranking
10,population_2020,Population 2020
11,urbano_2012,"Urbanization rate, 2012 (% of population)"
12,sdg1_1_eepr,"Extreme energy poverty rate, 2016 (% of houses)"
13,sdg1_1_ubn,"Unsatisfied basic needs, 2012 (% of population)"
14,sdg1_2_mpi,"Multidimensional poverty index, 2012"
15,sdg1_4_abs,"Access to the 3 basic services, 2012 (% of households)"
16,sdg2_2_cmc,"Chronic malnutrition in children (< 5 years), 2016 (%)"
17,sdg2_2_oww,"Obesity in women (15-49 years), 2016 (%)"
18,sdg2_4_pual,"Average area per Production Unit Agriculture and Livestock, 2013 (ha)"
19,sdg2_4_td,"Tractor density, 2013 (per 1,000 UPAs)"
20,sdg3_1_idca,"Institutional childbirth coverage, average 2008-2012 (%)"
21,sdg3_2_imr,"Infant mortality rate (< 1 year), 2016 (per. 1,000 live births)"
22,sdg3_2_mrc,"Children mortality rate in (< 5 years), 2016 (per. 1,000 live births)"
23,sdg3_3_cdir,"Chagas disease infestation rate, 2017 (% of households)"
24,sdg3_3_di,"Dengue incidence, 2018 (per 10,000 population)"
25,sdg3_3_imr,"Malaria incidence, average 2014-17 (per 1,000 population)"
26,sdg3_3_ti,"Tuberculosis incidence, 2017 (per 100,000 population)"
27,sdg3_3_hivi,"HIV incidence, average 2014-17 (per 1,000,00 population)"
28,sdg3_7_afr,"Adolescent fertility rate (15-19 years), 2012 (births per 1,000 women)"
29,sdg4_1_ssdrm,"Secondary school dropout rate, male, 2017 (% of enrolled)"
30,sdg4_1_ssdrf,"Secondary school dropout rate, females, 2017 (% of enrolled)"
31,sdg4_4_phe,"Population with higher education (>= 19 years), 2012 (%)"
32,sdg4_6_lr,"Literacy rate for (>= 15 years), 2012 (%)"
33,sdg4_c_qti,"Qualified teachers at the initial level, 2016 (%)"
34,sdg4_c_qts,"Qualified teachers at the secondary level, 2016"
35,sdg5_1_gpsd,"Gender parity in school dropouts in  secondary school, 2017"
36,sdg5_1_gpyp,"Gender parity in years of education of young people (25-35 years old), 2012. (25"
37,sdg5_1_gpmpi,"Gender Parity in the Multidimensional Poverty Index, 2012"
38,sdg5_5_gpop,"Gender parity in the overall participation rate (>=10 years), 2012"
39,sdg6_1_dwc,"Drinking water coverage, 2017 (% of population)"
40,sdg6_2_sc,"Sanitation coverage, 2017 (% of population)"
41,sdg6_3_wwt,"Wastewater treatment, 2017 (% of wastewater) wastewater)"
42,sdg7_1_ec,"Electricity coverage, 2012 (% of population) population)"
43,sdg7_1_rec,"Residential electricity consumption per capita, 2016 (kWh/person/year)"
44,sdg7_1_cce,"Clean cooking energy, 2012 (% of households)"
45,sdg7_3_co2epc,"CO2 emissions per capita by energy, 2016. (tCO2/person/year)"
46,sdg8_4_rem,"Residential electric meters with zero consumption, 2016 (%)"
47,sdg8_5_oprm,"Overall participation rate males (>= 10 years), 2012 (%)"
48,sdg8_5_ofrm,"Overall female participation rate (>= 10 years), 2012 (%)"
49,sdg8_6_mlm,"Men who do not study or participate in the labor market (15-24 years), 2012 (%)"
50,sdg8_6_wlm,"Women who do not study or participate in the labor market (15-24 years),2012 (%)"
51,sdg8_10_dbb,"Density of bank branches, 2018 (per 100,000 inhabitants)"
52,sdg8_11_idi,"Index of the degree of intermediation in migration, 2012"
53,sdg9_1_routes,"Number of railways/primary roads entering/leaving the municipality, 2019"
54,sdg9_5_cd,"Kuaa computers delivered, 2016 (per 100 school-age population, 6-19 years)"
55,sdg9_5_eutf,"Educational units with technological floors, 2016 (%)"
56,sdg9_c_mnc,"Fixed and mobile network coverage, 2012 (% of households)"
57,sdg9_c_drb,"Density of radio bases, 2016 (number of radio bases per 1000 inhabitants)"
58,sdg10_2_gcye,"GINI coefficient of years of education, 2012"
59,sdg10_2_iec,"Inequality in electricity consumption, 2016"
60,sdg10_2_nssp,"Non-Spanish speaking population (>= 3 years), 2012 (%)"
61,sdg11_1_hocr,"Overcrowding rate, 2012 (% of households)"
62,sdg11_1_hno,"Households that do not have a toilet, bathroom or latrine, 2012 (%) latrine, 201"
63,sdg11_2_samt,"Seats available for mass transit, 2017 (per 1,000 inhabitants)"
64,sdg13_1_ccvi,"Climate change vulnerability Index, 2015"
65,sdg13_2_tco2e,"Total CO2 emissions per capita, 2016 (tCO2/person/year)"
66,sdg13_2_dra,"Deforestation rate, average 2016-2018 (% of forest area 2015)"
67,sdg15_1_pa,"Protected areas, 2019 (% of the municipality's land area) municipality)"
68,sdg15_5_blr,"Biodiversity loss rate due to deforestation deforestation, average 2016-2018"
69,sdg16_1_rhr,"Registered homicide rate, average 2015-2017. (per 100,000 inhabitants)"
70,sdg16_6_pbec,"Programmed budget execution capacity, 2017 (%)"
71,sdg16_9_cr,"Children registered in the civil registry (< 5 years), 2012 (%)"
72,sdg17_1_pmtax,"Proportion of municipal revenues that come from local taxes, 2017 (%)"
73,sdg17_5_pipc,"Public investment per capita, 2017 (Bs./person)"
74,index_sdg1,SDG1 Index
75,index_sdg2,SDG2 Index
76,index_sdg3,SDG3 Index
77,index_sdg4,SDG4 Index
78,index_sdg5,SDG5 Index
79,index_sdg6,SDG6 Index
80,index_sdg7,SDG7 Index
81,index_sdg8,SDG8 Index
82,index_sdg9,SDG9 Index
83,index_sdg10,SDG10 Index
84,index_sdg11,SDG11 Index
85,index_sdg13,SDG13 Index
86,index_sdg15,SDG15 Index
87,index_sdg16,SDG16 Index
88,index_sdg17,SDG17 Index
89,pop2001,Estimated population in 2001
90,pop2002,Estimated population in 2002
91,pop2003,Estimated population in 2003
92,pop2004,Estimated population in 2004
93,pop2005,Estimated population in 2005
94,pop2006,Estimated population in 2006
95,pop2007,Estimated population in 2007
96,pop2008,Estimated population in 2008
97,pop2009,Estimated population in 2009
98,pop2010,Estimated population in 2010
99,pop2011,Estimated population in 2011
100,pop2012,Estimated population in 2012
101,pop2013,Estimated population in 2013
102,pop2014,Estimated population in 2014
103,pop2015,Estimated population in 2015
104,pop2016,Estimated population in 2016
105,pop2017,Estimated population in 2017
106,pop2018,Estimated population in 2018
107,pop2019,Estimated population in 2019
108,pop2020,Estimated population in 2020
109,ln_NTLpc2012,Log NTL per capita in 2012
110,ln_NTLpc2013,Log NTL per capita in 2013
111,ln_NTLpc2014,Log NTL per capita in 2014
112,ln_NTLpc2015,Log NTL per capita in 2015
113,ln_NTLpc2016,Log NTL per capita in 2016
114,ln_NTLpc2017,Log NTL per capita in 2017
115,ln_NTLpc2018,Log NTL per capita in 2018
116,ln_NTLpc2019,Log NTL per capita in 2019
117,ln_NTLpc2020,Log NTL per capita in 2020
118,ln_t400NTLpc2012,Trend log NTL per capita in 2012
119,ln_t400NTLpc2013,Trend log NTL per capita in 2013
120,ln_t400NTLpc2014,Trend log NTL per capita in 2014
121,ln_t400NTLpc2015,Trend log NTL per capita in 2015
122,ln_t400NTLpc2016,Trend log NTL per capita in 2016
123,ln_t400NTLpc2017,Trend log NTL per capita in 2017
124,ln_t400NTLpc2018,Trend log NTL per capita in 2018
125,ln_t400NTLpc2019,Trend log NTL per capita in 2019
126,ln_t400NTLpc2020,Trend log NTL per capita in 2020
127,co2015,Estimated carbon dioxide in 2015
128,co2016,Estimated carbon dioxide in 2016
129,co2017,Estimated carbon dioxide in 2017
130,co2018,Estimated carbon dioxide in 2018
131,co2019,Estimated carbon dioxide in 2019
132,co2020,Estimated carbon dioxide in 2020
133,tr400_co2015,Trend estimated carbon dioxide in 2015
134,tr400_co2016,Trend estimated carbon dioxide in 2016
135,tr400_co2017,Trend estimated carbon dioxide in 2017
136,tr400_co2018,Trend estimated carbon dioxide in 2018
137,tr400_co2019,Trend estimated carbon dioxide in 2019
138,tr400_co2020,Trend estimated carbon dioxide in 2020
139,airTemp2012.mean,Mean Air Temperature in Celcius in 2012
140,airTemp2013.mean,Mean Air Temperature in Celcius in 2013
141,airTemp2014.mean,Mean Air Temperature in Celcius in 2014
142,airTemp2015.mean,Mean Air Temperature in Celcius in 2015
143,airTemp2016.mean,Mean Air Temperature in Celcius in 2016
144,airTemp2017.mean,Mean Air Temperature in Celcius in 2017
145,airTemp2012.min,Minimum Air Temperature in Celcius in 2012
146,airTemp2013.min,Minimum Air Temperature in Celcius in 2013
147,airTemp2014.min,Minimum Air Temperature in Celcius in 2014
148,airTemp2015.min,Minimum Air Temperature in Celcius in 2015
149,airTemp2016.min,Minimum Air Temperature in Celcius in 2016
150,airTemp2017.min,Minimum Air Temperature in Celcius in 2017
151,airTemp2012.max,Maximum Air Temperature in Celcius in 2012
152,airTemp2013.max,Maximum Air Temperature in Celcius in 2013
153,airTemp2014.max,Maximum Air Temperature in Celcius in 2014
154,airTemp2015.max,Maximum Air Temperature in Celcius in 2015
155,airTemp2016.max,Maximum Air Temperature in Celcius in 2016
156,airTemp2017.max,Maximum Air Temperature in Celcius in 2017
